categoria	referencia_interna	nombre 	precio	url_produicto	url_imagen	descripción	gastos de envío	disponibilidad	marca	ean	garantía	precio_tachado	referencia_modelo	divisa	referencia_fabricante
San Valentín	ra-jbcorobltrre01	Jabon Corazon Lleno de Rosas	 4,00   	https://www.regalonatural.com/20-jabon-corazon-lleno.html	https://www.regalonatural.com/img/p/1/3/3/133-large_default.jpg	Precioso jabon con forma de corazón transparente que en su interior tiene rosas rojas de cera	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbneazbl	Jabon Nenufar Blanco-Azul	 2,98   	https://www.regalonatural.com/21-jabon-nenufar-blanco-azul.html	https://www.regalonatural.com/img/p/4/2/8/428-large_default.jpg	Fantastico jabon con forma de nenufar en color blanco y azul	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbnefubl	Jabon Nenufar Fucsia-Blanco	 2,98   	https://www.regalonatural.com/22-jabon-nenufar-blanco-fucsia.html	https://www.regalonatural.com/img/p/1/4/5/145-large_default.jpg	Bonito jabón con forma de nenúfar blanco y fucsia	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbnenabltl	Jabon Nenufar Blanco-Naranja-Tl	 2,98   	https://www.regalonatural.com/23-jabon-nenufar-blanco-naranja-tr.html	https://www.regalonatural.com/img/p/4/1/9/419-large_default.jpg	Fantástico jabón con forma de nenufar en colores blanco y naranja	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbnerobltl	Jabon Nenufar Rojo-Blanco-Tl	 2,98   	https://www.regalonatural.com/24-jabon-nenufar-rojo-blanco-tl.html	https://www.regalonatural.com/img/p/1/5/1/151-large_default.jpg	Estupendo jabón con forma de Nenúfar Rojo y Blanco	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbnersbl	Jabon Nenufar Rosa-Blanco	 2,98   	https://www.regalonatural.com/25-jabon-nenufar-rosa-blanco.html	https://www.regalonatural.com/img/p/4/2/1/421-large_default.jpg	Precioso jabón con forma de nenufar en colores blanco y rosa	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbnevebl	Jabon Nenufar Blanco-Verde	 2,98   	https://www.regalonatural.com/26-jabon-nenufar-blanco-verde.html	https://www.regalonatural.com/img/p/4/2/5/425-large_default.jpg	Precioso jabón con forma de nenufar color verde y blanco	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Nenúfar	ra-jbnevemt	Jabon Nenufar Verde Motivos	 2,98   	https://www.regalonatural.com/27-jabon-nenufar-verde-motivos.html	https://www.regalonatural.com/img/p/1/5/7/157-large_default.jpg	Bonito jabón con forma de nenúfar en color verde con motivos negros	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Piñón	ra-jbpivemt	Jabon Piñón Verde Motivos	 2,98   	https://www.regalonatural.com/28-jabon-pinon-verde-motivos.html	https://www.regalonatural.com/img/p/1/6/1/161-large_default.jpg	Fantástico jabon con forma de piñón de color verde	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Un Vistazo	ra-jbrorobltl	Jabon Sho Yu  Blanco-Rojo	 2,98   	https://www.regalonatural.com/29-jabon-sho-yu-blanco-rojo.html	https://www.regalonatural.com/img/p/1/6/3/163-large_default.jpg	Jabón con forma de flor Sho Yu roja y blanca	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Sho Yu	ra-jbrorotl	Jabon Sho Yu Rojo Tl	 2,98   	https://www.regalonatural.com/30-jabon-sho-yu-rojo-tl.html	https://www.regalonatural.com/img/p/1/2/0/120-large_default.jpg	Jabón con forma de flor Sho Yu roja	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Piñón	ra-jbpiblve	Jabon Piñón Blanco-Verde	 2,98   	https://www.regalonatural.com/33-jabon-pinon-blanco-verde.html	https://www.regalonatural.com/img/p/4/1/3/413-large_default.jpg	Precioso jabón con forma de piñón de color blanco y verde	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
San Valentín	ra-vecoenaazbl	Vela Coramar Azul-Blanco	 2,98   	https://www.regalonatural.com/39-vela-coramar-azul-blanco.html	https://www.regalonatural.com/img/p/4/2/6/426-large_default.jpg	Fantastica vela de manos sobre corazon color azul y blanco	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
San Valentín	ra-vecoenarobl	Vela Coramar Rojo-Blanco	 2,98   	https://www.regalonatural.com/40-vela-coramar-rojo-blanco.html	https://www.regalonatural.com/img/p/1/7/3/173-large_default.jpg	Dirás tanto con esta vela de corazón…	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Cala	ra-vecanano	Vela Cala Naranja	 2,98   	https://www.regalonatural.com/41-vela-cala-naranja.html	https://www.regalonatural.com/img/p/1/7/5/175-large_default.jpg	Vela con forma de cala color naranja que será un precioso detalle	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Cala	ra-vecaazno	Vela Cala Azul	 2,98   	https://www.regalonatural.com/42-vela-cala-azul.html	https://www.regalonatural.com/img/p/1/7/7/177-large_default.jpg	Vela con forma de cala color azul que será un precioso detalle	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Cala	ra-vecablno	Vela Cala Blanca	 2,98   	https://www.regalonatural.com/43-vela-cala-blanca.html	https://www.regalonatural.com/img/p/4/3/1/431-large_default.jpg	Preciosa vela de tipo cala en color blanco. Sorprende en las bodas	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
San Valentín	ra-vecoro01	Vela Corazon Rojo	 2,98   	https://www.regalonatural.com/44-vela-corazon-rojo.html	https://www.regalonatural.com/img/p/3/9/2/392-large_default.jpg	Preciosa vela corazon rojo	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Hortensias	ra-jbperorotl	Jabón Hortensias Rojas	 2,98   	https://www.regalonatural.com/45-jabon-hortensia-roja.html	https://www.regalonatural.com/img/p/3/8/7/387-large_default.jpg	Precioso jabon para regalar con forma de hortensia roja. Perfecto regalo natural	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Sho Yu	ra-jbshmono	Jabón Sho Yu Morado	 2,98   	https://www.regalonatural.com/55-jabon-sho-yu-morado.html	https://www.regalonatural.com/img/p/4/0/9/409-large_default.jpg	precioso jabon con forma de flor sho yu morada	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Jabón Sho Yu	ra-jbshliblno	Jabón Sho Yu Lila-Blanco	 2,98   	https://www.regalonatural.com/56-jabon-sho-yu-lila-blanco.html	https://www.regalonatural.com/img/p/3/8/3/383-large_default.jpg	Jabón con forma de flor Sho Yu lila y blanca	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Un Vistazo	ra-jbnelino	Jabón Nenúfar Lila	 2,98   	https://www.regalonatural.com/57-jabon-nenufar-lila.html	https://www.regalonatural.com/img/p/3/8/8/388-large_default.jpg	Precioso jabon para regalar con forma de nenufar lila. Hecho a mano. Natural.	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
Velas Pensamiento	ra-veperoblno	Vela Pensamiento	 0,98   	https://www.regalonatural.com/58-vela-pensamiento.html	https://www.regalonatural.com/img/p/2/1/6/216-large_default.jpg	Ayy!!! Las velas pensamiento, tan pequeñas y tan bonitas. 	6	en stock	RegaloNatural	0	n/a	0		EUR	Ralucart
